setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-phenylalanine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jmFuC,298.15,0.025,0,101,998.38,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.025,0.0223,101,999.36,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.025,0.039,101,1000.08,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.025,0.062,101,1001.06,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.025,0.0902,101,1002.26,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.025,0.0996,101,1002.65,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.025,0.118,101,1003.37,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0,101,999.96,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0.0195,101,1000.81,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0.0306,101,1001.29,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0.0422,101,1001.78,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0.0646,101,1002.72,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0.0911,101,1003.82,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,298.15,0.055,0.1004,101,1004.19,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
jmFuC,308.15,0.025,0,101,995.33,Fang and Ren (2013),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
