setid,"Temperature, K",Mole fraction of propylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rAEnL,293.15,0.109,100,1028.3,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.2002,100,1023.67,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.2999,100,1018.37,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.401,100,1013.24,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.5069,100,1008.11,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.6109,100,1003.26,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.6905,100,999.67,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.8022,100,994.86,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.9022,100,991.34,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,0.95,100,990.57,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,293.15,1,100,989.9,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
rAEnL,298.15,0.109,100,1023.9,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
