setid,"Temperature, K",Mole fraction of ethyl acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nzBRx,288.15,0,101,1001.1,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.15,0.3111,101,985.8,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.15,0.5971,101,963.2,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.15,0.9017,101,924.5,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.15,0.9499,101,916.5,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.0719,101,997.4,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.1039,101,995.3,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.1973,101,992.8,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.3986,101,980,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.4946,101,973.1,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.7005,101,952.4,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.16,0.8031,101,938.7,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,288.22,1,101,907,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.14,0.3111,101,982,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.14,0.8031,101,933.5,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.14,1,101,901,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0,101,997.6,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.0719,101,993.8,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.1039,101,991.7,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.1973,101,989,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.3986,101,976,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.4946,101,968.8,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.5971,101,958.8,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.7005,101,947.6,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.9017,101,918.8,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,293.15,0.9499,101,910.6,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,298.14,0.0719,101,990.1,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,298.14,0.4946,101,964.6,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,298.14,0.8031,101,928.3,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,298.15,0,101,994.2,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,298.15,0.1039,101,988.1,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
nzBRx,298.15,0.1973,101,985.1,Alvarez et al. (2012),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
