setid,"Solvent: MolaLity of cetylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cpIQq,0.01,293.15,0,101,998.46,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.02935,101,999.26,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.04443,101,999.66,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.05913,101,1000.05,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.07435,101,1000.46,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.08959,101,1000.85,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.10487,101,1001.25,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.1195,101,1001.63,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.13458,101,1002.02,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
cpIQq,0.01,293.15,0.15,101,1002.41,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
