setid,"Temperature, K",Mole fraction of N-methyldiethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kzAmn,293.15,0,81.5,1102.8,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,293.15,0.2,81.5,1092.2,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,293.15,0.4,81.5,1080.6,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,293.15,0.6,81.5,1067.7,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,293.15,0.8,81.5,1054.8,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,293.15,1,81.5,1039.9,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,303.15,0,81.5,1096.6,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,303.15,0.2,81.5,1086.1,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,303.15,0.4,81.5,1074.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,303.15,0.6,81.5,1061.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,303.15,0.8,81.5,1048.1,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,303.15,1,81.5,1032.4,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
kzAmn,313.15,0,81.5,1090.5,Shojaeian et al. (2021),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
