setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uwYWc,298.15,996,0.199,1385,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,1997,0.379,1377,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,2502,0.449,1371,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,3031,0.51,1361,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,3511,0.559,1351,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,4013,0.602,1348,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,4504,0.638,1345,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,5002,0.674,1339,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,5512,0.702,1336,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
uwYWc,298.15,6040,0.728,1326,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
