setid,"MolaLity of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nlXOZ,0.02,303.15,101.3,1108.6,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.02,308.15,101.3,1105.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.02,313.15,101.3,1101.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.02,318.15,101.3,1097.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.02,323.15,101.3,1094.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.02,328.15,101.3,1090.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,293.15,101.3,1116.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,298.15,101.3,1113.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,303.15,101.3,1109.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,308.15,101.3,1106.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,313.15,101.3,1102.6,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,318.15,101.3,1099,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,323.15,101.3,1095.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.03,328.15,101.3,1091.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,298.15,101.3,1114.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,303.15,101.3,1110.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,308.15,101.3,1107.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,313.15,101.3,1103.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,318.15,101.3,1100.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,323.15,101.3,1096.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0397,328.15,101.3,1092.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,293.15,101.3,1119,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,298.15,101.3,1115.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,303.15,101.3,1112,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,308.15,101.3,1108.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,313.15,101.3,1104.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,318.15,101.3,1101.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,323.15,101.3,1097.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.0505,328.15,101.3,1094,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,293.15,101.3,1122.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,298.15,101.3,1118.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,303.15,101.3,1115.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,308.15,101.3,1111.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,313.15,101.3,1108.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,318.15,101.3,1104.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,323.15,101.3,1100.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.08,328.15,101.3,1097.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,293.15,101.3,1126.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,298.15,101.3,1123.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,303.15,101.3,1119.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,308.15,101.3,1116.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,313.15,101.3,1112.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,318.15,101.3,1108.9,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,323.15,101.3,1105.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.12,328.15,101.3,1101.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,293.15,101.3,1135.3,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,298.15,101.3,1131.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,303.15,101.3,1128.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,308.15,101.3,1124.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,313.15,101.3,1120.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,318.15,101.3,1117.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,323.15,101.3,1113.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2001,328.15,101.3,1109.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,293.15,101.3,1139.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,298.15,101.3,1136,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,303.15,101.3,1132.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,308.15,101.3,1128.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,313.15,101.3,1125.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,318.15,101.3,1121.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,323.15,101.3,1117.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2488,328.15,101.3,1114,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,293.15,101.3,1145.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,298.15,101.3,1141.5,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,303.15,101.3,1137.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,308.15,101.3,1134.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,313.15,101.3,1130.4,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,318.15,101.3,1126.7,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,323.15,101.3,1123,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.2975,328.15,101.3,1119.2,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,293.15,101.3,1149.8,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
nlXOZ,0.3461,298.15,101.3,1146.1,Liu et al. (2023b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
