setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate,Mole fraction of methanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zsSkW,303.15,0.004,0.4016,101,869.8,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.005,0.3102,101,854.1,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.0053,0.2273,101,839,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.0064,0.1101,101,820.5,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.0871,0.6008,101,1071.3,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.1928,0.5887,101,1148.4,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.3087,0.4066,101,1168.3,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.3403,0.5555,101,1194.7,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.482,0.4648,101,1211.9,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,303.15,0.5212,0.2834,101,1202.1,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.0019,0.7078,101,923.4,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.0027,0.6147,101,904.2,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.0033,0.5048,101,881.6,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.004,0.4016,101,861.7,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.005,0.3102,101,845.7,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.0053,0.2273,101,830.5,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.0064,0.1101,101,811.8,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.0871,0.6008,101,1063.8,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.1928,0.5887,101,1141.1,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.3087,0.4066,101,1161.1,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.3403,0.5555,101,1187.6,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.482,0.4648,101,1204.9,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
zsSkW,313.15,0.5212,0.2834,101,1195.1,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
