setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium methylsulfate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lkWRC,298,0,101.3,806,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,0.063,101.3,861,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,0.221,101.3,982,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,0.432,101.3,1108,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,0.64,101.3,1205,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,0.781,101.3,1258,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,0.927,101.3,1307,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,298,1,101.3,1329,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0,101.3,802,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0.063,101.3,857,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0.221,101.3,977,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0.432,101.3,1102,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0.64,101.3,1198,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0.781,101.3,1252,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,0.927,101.3,1300,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,303,1,101.3,1322,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,308,0,101.3,798,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,308,0.063,101.3,852,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,308,0.221,101.3,972,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
lkWRC,308,0.432,101.3,1097,Alkhaldi et al. (2017a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
