setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of glycyl-L-valine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mZEFL,0.03,0,278.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0,293.15,100,999.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0,298.15,100,998.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0,303.15,100,996.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0197,278.15,100,1002.5,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0197,283.15,100,1002.2,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0197,288.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0197,293.15,100,1000.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0197,298.15,100,999.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0197,303.15,100,997.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0393,278.15,100,1003.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0393,283.15,100,1003.3,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0393,288.15,100,1002.5,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0393,293.15,100,1001.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0393,298.15,100,1000.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0393,303.15,100,998.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0587,278.15,100,1004.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0587,283.15,100,1004.3,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0587,288.15,100,1003.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0587,293.15,100,1002.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0587,298.15,100,1001.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0587,303.15,100,999.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0779,278.15,100,1005.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0779,283.15,100,1005.3,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0779,288.15,100,1004.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0779,293.15,100,1003.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0779,303.15,100,1000.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0971,278.15,100,1006.7,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0971,283.15,100,1006.3,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0971,288.15,100,1005.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0971,298.15,100,1003.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.0971,303.15,100,1001.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1168,278.15,100,1007.7,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1168,283.15,100,1007.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1168,288.15,100,1006.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1168,293.15,100,1005.6,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1168,298.15,100,1004.4,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1168,303.15,100,1002.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
mZEFL,0.03,0.1376,278.15,100,1008.9,Yan et al. (2020),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
