setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sPjJU,288.15,0,101,1038.7,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0098,101,1039.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0151,101,1039.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0214,101,1039.8,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0246,101,1040,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0304,101,1040.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0355,101,1040.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0415,101,1040.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,288.15,0.0457,101,1041.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
sPjJU,298.15,0,101,1029.8,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
