setid,"Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium salicylate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DpSmA,288.15,0,0,87,999.1,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0,0.1032,87,1004.9,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0,0.2005,87,1010.5,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0,0.296,87,1015.8,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1067,0.296,87,1019.1,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1125,0.1032,87,1008.5,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1142,0,87,1002.8,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1192,0.2005,87,1014.2,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1499,0.1032,87,1009.7,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1525,0,87,1004,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1525,0.2005,87,1015.2,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1548,0.296,87,1020.6,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1913,0.2005,87,1016.5,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1941,0.1032,87,1011.1,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.1962,0,87,1005.4,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.2031,0.296,87,1022.1,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
DpSmA,288.15,0.2434,0.2005,87,1018.1,Shekaari et al. (2016d),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate
