setid,Mole fraction of 1-octylpyridinium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DtUom,0,298.15,101,784.8,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.2,298.15,101,939.3,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.3035,298.15,101,981.4,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.4063,298.15,101,1011.5,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.5087,298.15,101,1034.2,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.5903,298.15,101,1048.5,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.7456,298.15,101,1069.4,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.791,298.15,101,1073.9,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,0.876,298.15,101,1081.5,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
DtUom,1,298.15,101,1089.5,Jiang et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAwvAU,CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-octylpyridinium nitrate,,,
