setid,"Temperature, K","MolaLity of 1-cetylpyridinium salicylate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SHcoZ,293.15,0.005,101,998.3,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,293.15,0.005,101,998.3,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,293.15,0.005,101,998.3,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,293.15,0.01,101,998.4,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,293.15,0.01,101,998.4,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,293.15,0.01,101,998.4,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,298.15,0.005,101,997.1,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,298.15,0.005,101,997.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,298.15,0.01,101,997.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,298.15,0.01,101,997.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,298.15,0.01,101,997.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,298.15,0.01,101,997.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,303.15,0.005,101,995.8,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,303.15,0.01,101,995.8,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,303.15,0.01,101,995.8,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,303.15,0.01,101,995.8,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,308.15,0.005,101,994.1,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,308.15,0.005,101,994.1,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,308.15,0.01,101,994.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,308.15,0.01,101,994.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,308.15,0.01,101,994.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
SHcoZ,308.15,0.01,101,994.2,Yan et al. (2021b),Density,Liquid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water,,,
