setid,"Solvent: MolaLity of cetylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wCcIx,0.01,293.15,0,101,998.45,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.01,101,998.7,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.02948,101,999.18,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.04951,101,999.67,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.05946,101,999.91,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.06975,101,1000.15,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.07952,101,1000.38,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.08953,101,1000.62,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,293.15,0.09997,101,1000.86,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0,101,997.28,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.02001,101,997.77,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.03978,101,998.24,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.04951,101,998.47,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.05946,101,998.71,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.06975,101,998.95,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.07952,101,999.17,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.08953,101,999.4,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,298.15,0.09997,101,999.63,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,303.15,0,101,995.88,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,303.15,0.02001,101,996.36,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,303.15,0.04951,101,997.05,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
wCcIx,0.01,303.15,0.05946,101,997.28,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
