setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lmHbN,298.15,0,101.3,908,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.051,101.3,945,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.104,101.3,981,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.199,101.3,1042,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.241,101.3,1067,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.296,101.3,1098,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.416,101.3,1161,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.506,101.3,1204,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.606,101.3,1247,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
lmHbN,298.15,0.698,101.3,1284,Aangothu et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AAUBtI,CCCOCCO,2-propoxyethanol,,,
