setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium L-prolinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uvVgI,288.15,0,85,999.09,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,288.15,0.0136,85,999.51,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,288.15,0.0217,85,999.76,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,288.15,0.0329,85,1000.09,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,288.15,0.044,85,1000.42,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,288.15,0.0525,85,1000.67,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,288.15,0.0626,85,1000.96,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,298.15,0,85,997.04,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,298.15,0.0136,85,997.47,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,298.15,0.0217,85,997.71,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,298.15,0.0329,85,998.05,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
uvVgI,298.15,0.044,85,998.38,Zafarani-Moattar et al. (2019c),Density,Liquid,AApyQt,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AADYJk,O,water,,,
