setid,Solvent: Weight fraction of .beta.-cyclodextrin,"MolaLity of 1-ethyl-1-methylpyrrolidinium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UHCjj,0.001,0.01,100,298.15,997.6,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.001,0.025,100,298.15,998.4,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.001,0.04,100,298.15,999.5,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.001,0.055,100,298.15,1000.8,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.001,0.07,100,298.15,1001.9,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.001,0.085,100,298.15,1002.8,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.003,0.01,100,298.15,998.7,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.003,0.025,100,298.15,999.6,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.003,0.04,100,298.15,1000.6,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
UHCjj,0.003,0.055,100,298.15,1001.7,Das et al. (2018b),Density,Liquid,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water
