setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Solvent: MolaLity of 2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zmkJG,0.0738,0.1901,101,298.15,961.71,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.0738,0.2122,101,298.15,963.13,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0,101,298.15,951.72,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.0492,101,298.15,955.12,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.0685,101,298.15,956.43,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.0903,101,298.15,957.9,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.111,101,298.15,959.29,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.1279,101,298.15,960.41,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.1523,101,298.15,962.02,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.1714,101,298.15,963.25,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.19,101,298.15,964.46,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
zmkJG,0.1205,0.2181,101,298.15,966.25,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
