setid,"Temperature, K","MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xLOZc,288.15,0.0282,101.3,810.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,288.15,0.0565,101.3,811.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,288.15,0.0852,101.3,812.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,288.15,0.1185,101.3,813.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,288.15,0.1481,101.3,814.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,288.15,0.1793,101.3,816,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,298.15,0.0282,101.3,799.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,298.15,0.0565,101.3,800.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,298.15,0.0852,101.3,801.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,298.15,0.1185,101.3,803,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,298.15,0.1481,101.3,804,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,298.15,0.1793,101.3,805.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,308.15,0.0282,101.3,793.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,308.15,0.0565,101.3,794.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,308.15,0.0852,101.3,795.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,308.15,0.1185,101.3,796.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,308.15,0.1481,101.3,797.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,308.15,0.1793,101.3,798.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,318.15,0.0282,101.3,784.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,318.15,0.0565,101.3,785.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,318.15,0.0852,101.3,786.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,318.15,0.1185,101.3,787.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,318.15,0.1481,101.3,788.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
xLOZc,318.15,0.1793,101.3,789.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,,,
