setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qZXqj,298.15,1009,0.236,1464,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,2028,0.389,1420,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,3030,0.503,1411,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,3507,0.553,1408,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,4038,0.598,1401,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,4517,0.632,1390,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,5014,0.661,1386,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,5505,0.688,1385,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,6003,0.709,1373,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
qZXqj,298.15,6397,0.725,1363,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
