setid,"MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dgNcs,0,0.2837,101,298.15,1049.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0,0.5536,101,298.15,1068.2,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0,0.8328,101,298.15,1087,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0151,0.2837,101,298.15,1050,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0151,0.5536,101,298.15,1068.4,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0158,0.8328,101,298.15,1087.1,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0308,0.2837,101,298.15,1050,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.034,0.8328,101,298.15,1087.1,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0345,0.5536,101,298.15,1068.5,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0494,0.5536,101,298.15,1068.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0502,0.2837,101,298.15,1050,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0507,0.8328,101,298.15,1087.1,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0599,0.2837,101,298.15,1050,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0639,0.5536,101,298.15,1068.7,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0659,0.8328,101,298.15,1087.2,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0776,0.2837,101,298.15,1050,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0788,0.8328,101,298.15,1087.2,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0795,0.5536,101,298.15,1068.8,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0946,0.5536,101,298.15,1068.9,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0946,0.8328,101,298.15,1087.2,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
dgNcs,0.0967,0.2837,101,298.15,1050,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
