setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium L-alaninate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QMxsr,288.15,0.0108,85,1.3338,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,288.15,0.0204,85,1.334,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,288.15,0.03,85,1.3342,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,288.15,0.0401,85,1.3345,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,288.15,0.0509,85,1.3349,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,288.15,0.0583,85,1.3351,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,298.15,0.0108,85,1.3331,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,298.15,0.0204,85,1.3333,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,298.15,0.03,85,1.3335,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,298.15,0.0401,85,1.3337,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,298.15,0.0509,85,1.3341,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,298.15,0.0583,85,1.3343,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
QMxsr,308.15,0.0108,85,1.3319,Zafarani-Moattar et al. (2019b),Refractive index,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,,
