setid,Mole ratio to solvent: tetrapropylammonium bromide,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
uCmch,0.2,293.2,100,1.4652,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.2,303.6,100,1.462,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.2,313.5,100,1.4588,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.2,323.1,100,1.4559,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.2,333,100,1.4527,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.2,343.4,100,1.4497,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.2,353.6,100,1.4463,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,293.4,100,1.4697,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,303.4,100,1.4668,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,313.3,100,1.4639,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,323.3,100,1.461,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,333.5,100,1.4576,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,343.4,100,1.4546,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.25,353.6,100,1.4517,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,293.5,100,1.4762,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,303.2,100,1.4731,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,313.4,100,1.4701,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,323.1,100,1.467,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,333.3,100,1.464,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,343.2,100,1.4608,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
uCmch,0.3333,353.4,100,1.4576,Jibril et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
