setid,"Temperature, K",Mole fraction of 1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
luGqX,288.15,0,100,1.345,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.1,100,1.3818,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.2,100,1.3993,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.3,100,1.4099,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.4,100,1.4169,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.499,100,1.421,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.6,100,1.4254,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.7003,100,1.428,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.7998,100,1.4298,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,0.9003,100,1.432,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,288.15,1,100,1.4332,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0,100,1.3428,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.1,100,1.38,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.2,100,1.3978,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.3,100,1.4084,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.4,100,1.4159,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.499,100,1.4196,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.6,100,1.4237,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.7003,100,1.4267,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.7998,100,1.4288,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,0.9003,100,1.4308,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,293.15,1,100,1.4319,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,298.15,0,100,1.341,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,298.15,0.1,100,1.3782,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,298.15,0.2,100,1.3966,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,298.15,0.3,100,1.407,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,298.15,0.4,100,1.4147,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
luGqX,298.15,0.499,100,1.4181,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
