setid,"Solvent: MolaLity of 1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xZUZj,0.0974,0,87,298.15,1.3386,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.0993,87,298.15,1.3401,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.1493,87,298.15,1.3408,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.1974,87,298.15,1.3415,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.2527,87,298.15,1.3423,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.296,87,298.15,1.3429,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.3383,87,298.15,1.3435,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.3978,87,298.15,1.3443,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.0974,0.4461,87,298.15,1.345,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0,87,298.15,1.344,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.0993,87,298.15,1.3454,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.1493,87,298.15,1.3462,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.1974,87,298.15,1.3469,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.2527,87,298.15,1.3477,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.296,87,298.15,1.3483,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.3383,87,298.15,1.3489,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.3978,87,298.15,1.3498,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
xZUZj,0.2012,0.4461,87,298.15,1.3504,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,
