setid,"MolaLity of 1-hexylpyridinium nitrate, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pcPcW,0.1016,101,298.15,1.3626,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.204,101,298.15,1.3648,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.3013,101,298.15,1.3671,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.4055,101,298.15,1.3696,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.5044,101,298.15,1.3724,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.6,101,298.15,1.3745,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.7071,101,298.15,1.3774,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.8001,101,298.15,1.3791,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,0.9029,101,298.15,1.3815,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
pcPcW,1,101,298.15,1.3836,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,,
