setid,Mole fraction of butanoic acid,Mole fraction of hexane,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zcdFr,0.1297,0.1503,303.15,100,1.48763,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.2196,0.1561,303.15,100,1.48099,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.2802,0.1496,303.15,100,1.47341,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.39,0.5799,303.15,100,1.39324,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.4001,0.1702,303.15,100,1.46647,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.4999,0.4503,303.15,100,1.40255,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.5149,0.1726,303.15,100,1.452,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.53,0.22,303.15,100,1.44525,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.5301,0.4097,303.15,100,1.40931,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.5302,0.3898,303.15,100,1.41179,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.5497,0.25,303.15,100,1.43477,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.5746,0.321,303.15,100,1.42101,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
zcdFr,0.5846,0.2697,303.15,100,1.42897,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
