setid,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Zvyaj,0,101,298.15,1.50069,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.1306,101,298.15,1.49883,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.2326,101,298.15,1.49676,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.2865,101,298.15,1.49605,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.3671,101,298.15,1.49405,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.4047,101,298.15,1.49276,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.4896,101,298.15,1.48962,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.5258,101,298.15,1.48758,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.5507,101,298.15,1.48619,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.6155,101,298.15,1.48192,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.7151,101,298.15,1.47153,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.7317,101,298.15,1.47061,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.8099,101,298.15,1.45529,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,0.9053,101,298.15,1.41896,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Zvyaj,1,101,298.15,1.33258,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
