setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium salicylate, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DtifS,0.0999,0.0997,298.15,87,1.3383,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.149,298.15,87,1.3396,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.1997,298.15,87,1.3402,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.2484,298.15,87,1.3409,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.295,298.15,87,1.3415,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.3457,298.15,87,1.3421,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.3975,298.15,87,1.3428,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.0999,0.449,298.15,87,1.3435,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.1041,298.15,87,1.3435,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.1495,298.15,87,1.3448,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.2287,298.15,87,1.3454,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.2509,298.15,87,1.3464,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.303,298.15,87,1.3467,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.3455,298.15,87,1.3474,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.3977,298.15,87,1.3479,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.1989,0.432,298.15,87,1.3486,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.099,298.15,87,1.3482,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.1547,298.15,87,1.3496,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.1997,298.15,87,1.3504,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.2557,298.15,87,1.351,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.3,298.15,87,1.3517,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.3477,298.15,87,1.3523,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.3988,298.15,87,1.3529,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
DtifS,0.293,0.447,298.15,87,1.3536,Shekaari et al. (2019a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
