setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
HtaYj,298.15,0,100,1.46838,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.1051,100,1.45767,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.2088,100,1.45014,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.2926,100,1.44539,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.3807,100,1.44129,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.5019,100,1.4368,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.5925,100,1.43414,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.6982,100,1.43169,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.7862,100,1.42999,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
HtaYj,298.15,0.8895,100,1.4283,Krishna et al. (2016a),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
