setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NXBaX,303.15,0,101.3,1.48403,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.0494,101.3,1.47539,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.1025,101.3,1.46743,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.1503,101.3,1.46088,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.2215,101.3,1.45232,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.3376,101.3,1.44097,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.4502,101.3,1.43229,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.5654,101.3,1.42521,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.6527,101.3,1.42077,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.7421,101.3,1.41683,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.8295,101.3,1.41345,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.8622,101.3,1.41227,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.9019,101.3,1.41089,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,0.9495,101.3,1.40932,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,303.15,1,101.3,1.40779,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0,101.3,1.48218,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.0494,101.3,1.47367,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.1025,101.3,1.46577,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.1503,101.3,1.45925,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.2215,101.3,1.45075,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.3376,101.3,1.43947,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.4502,101.3,1.43084,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.5654,101.3,1.4238,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.6527,101.3,1.41939,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.7421,101.3,1.41547,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.8295,101.3,1.41211,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.8622,101.3,1.41094,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.9019,101.3,1.40956,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,0.9495,101.3,1.408,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,308.15,1,101.3,1.40647,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,313.15,0,101.3,1.48033,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,313.15,0.0494,101.3,1.47197,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
NXBaX,313.15,0.1025,101.3,1.46409,Rao et al. (2018),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAQTZI,O=C1CCCN1,2-pyrrolidinone,,,,
