setid,"MolaLity of thiophene, mol/kg","Temperature, K","Pressure, kPa","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JyAnm,0,298.15,101.33,0.0999,1.4236,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.0309,298.15,101.33,0.0999,1.4239,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.041,298.15,101.33,0.0999,1.424,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.051,298.15,101.33,0.0999,1.4241,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.061,298.15,101.33,0.0999,1.4242,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.071,298.15,101.33,0.0999,1.4243,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.081,298.15,101.33,0.0999,1.4244,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.091,298.15,101.33,0.0999,1.4245,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.111,298.15,101.33,0.0999,1.4247,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.1212,298.15,101.33,0.0999,1.4248,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.1311,298.15,101.33,0.0999,1.4249,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.1412,298.15,101.33,0.0999,1.425,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
JyAnm,0.1507,298.15,101.33,0.0999,1.4251,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
