setid,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mjnSe,293.15,101,1.52291,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,298.15,101,1.52151,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,303.15,101,1.52009,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,308.15,101,1.5187,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,313.15,101,1.51731,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,318.15,101,1.51591,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,323.15,101,1.51454,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,328.15,101,1.51315,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,333.15,101,1.51177,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,338.15,101,1.51035,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,343.15,101,1.50897,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,348.15,101,1.50757,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
mjnSe,353.15,101,1.5062,Gouveia et al. (2016a),Refractive index,Liquid,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,,,,,
