setid,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ObTGo,0,101,298.15,1.4949,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.1109,101,298.15,1.49321,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.2026,101,298.15,1.49206,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.2683,101,298.15,1.49085,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.415,101,298.15,1.48785,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.5113,101,298.15,1.48476,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.6166,101,298.15,1.47932,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.6604,101,298.15,1.47595,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.6842,101,298.15,1.4739,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.7104,101,298.15,1.47093,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.7985,101,298.15,1.45815,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,0.8964,101,298.15,1.42833,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
ObTGo,1,101,298.15,1.33258,Caeiro et al. (2022),Refractive index,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
