setid,Weight fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
aQVUB,0.009,313.15,101,1.4978,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.044,313.15,101,1.4919,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.074,313.15,101,1.48696,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.105,313.15,101,1.48178,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.159,313.15,101,1.47307,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.227,313.15,101,1.46247,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.315,313.15,101,1.44917,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.436,313.15,101,1.43182,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.635,313.15,101,1.40428,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
aQVUB,0.778,313.15,101,1.38418,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
