setid,"Temperature, K","MolaLity of L-leucine, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
SYoPE,298.15,0.0707,0.005,100,1.3324,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,298.15,0.0859,0.001,100,1.3321,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,298.15,0.0859,0.003,100,1.3323,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,298.15,0.0859,0.005,100,1.3325,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.01,0.001,100,1.3317,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.01,0.003,100,1.3321,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.01,0.005,100,1.3324,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0251,0.001,100,1.3318,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0251,0.003,100,1.3321,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0251,0.005,100,1.3324,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0403,0.001,100,1.3319,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0403,0.003,100,1.3322,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0403,0.005,100,1.3325,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0554,0.001,100,1.332,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0554,0.003,100,1.3323,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0554,0.005,100,1.3326,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0707,0.001,100,1.3321,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0707,0.003,100,1.3324,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0707,0.005,100,1.3327,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0859,0.001,100,1.3322,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0859,0.003,100,1.3325,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,303.15,0.0859,0.005,100,1.3328,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.01,0.001,100,1.3318,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.01,0.003,100,1.332,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.01,0.005,100,1.3325,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0251,0.001,100,1.3319,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0251,0.003,100,1.3321,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0251,0.005,100,1.3326,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0403,0.001,100,1.332,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0403,0.003,100,1.3322,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0403,0.005,100,1.3327,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0554,0.001,100,1.3321,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0554,0.003,100,1.3323,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0554,0.005,100,1.3328,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0707,0.001,100,1.3322,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0707,0.003,100,1.3324,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0707,0.005,100,1.3329,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0859,0.001,100,1.3323,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0859,0.003,100,1.3325,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
SYoPE,308.15,0.0859,0.005,100,1.333,Mallick et al. (2023),Refractive index,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
