setid,Weight fraction of L-arabinose,"Temperature, K","Pressure, kPa",Solvent: Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zkgDo,0,298.15,84.5,0.02,1.33391,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0032,298.15,84.5,0.02,1.33434,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0048,298.15,84.5,0.02,1.33457,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0076,298.15,84.5,0.02,1.33495,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0083,298.15,84.5,0.02,1.33504,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0099,298.15,84.5,0.02,1.33526,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0185,298.15,84.5,0.02,1.33648,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0393,298.15,84.5,0.02,1.33942,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0545,298.15,84.5,0.02,1.34158,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
zkgDo,0.0806,298.15,84.5,0.02,1.34535,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
