setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium salicylate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
YXxlj,0.0978,0.0984,298.15,87,1.3382,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.1496,298.15,87,1.3394,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.1999,298.15,87,1.34,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.2497,298.15,87,1.3406,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.3001,298.15,87,1.3412,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.3496,298.15,87,1.3418,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.3988,298.15,87,1.3425,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.0978,0.4367,298.15,87,1.3431,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.0994,298.15,87,1.3433,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.1474,298.15,87,1.3444,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.2005,298.15,87,1.3449,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.2541,298.15,87,1.3455,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.2964,298.15,87,1.3461,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.3514,298.15,87,1.3466,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.3986,298.15,87,1.3472,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
YXxlj,0.1977,0.4521,298.15,87,1.3477,Shekaari et al. (2019a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water,
