setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","MolaLity of 2-methylpiperazine, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FaKWu,298.15,2.51,1.509,100,1.401,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,298.15,3.002,1.008,100,1.403,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,298.15,3.507,0.509,100,1.406,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,303.15,2.51,1.509,100,1.399,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,303.15,3.002,1.008,100,1.402,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,303.15,3.507,0.509,100,1.404,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,308.15,2.51,1.509,100,1.398,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,308.15,3.002,1.008,100,1.401,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,308.15,3.507,0.509,100,1.403,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,313.15,2.51,1.509,100,1.397,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,313.15,3.002,1.008,100,1.399,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,313.15,3.507,0.509,100,1.402,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,318.15,2.51,1.509,100,1.396,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,318.15,3.002,1.008,100,1.398,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,318.15,3.507,0.509,100,1.4,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
FaKWu,323.15,2.51,1.509,100,1.395,Balchandani et al. (2022),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AATNpp,CC1CNCCN1,2-methylpiperazine,AADYJk,O,water,
