setid,Mole fraction of ethylammonium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zesIY,0,100,293,1.3333,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.001,100,293,1.3338,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.004,100,293,1.3358,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.007,100,293,1.3378,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.01,100,293,1.3399,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.016,100,293,1.3435,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.033,100,293,1.3528,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.05,100,293,1.3615,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.08,100,293,1.374,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.097,100,293,1.3801,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.131,100,293,1.3901,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.154,100,293,1.396,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.185,100,293,1.4029,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.213,100,293,1.4078,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.246,100,293,1.4133,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.289,100,293,1.4189,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.348,100,293,1.4255,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.402,100,293,1.4301,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.586,100,293,1.4415,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,0.739,100,293,1.4475,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
zesIY,1,100,293,1.4531,Kaneko et al. (2018a),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AADYJk,O,water,,,,
