setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ygPLH,288.15,0,101,1.38694,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.1017,101,1.41146,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.2004,101,1.42938,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.3001,101,1.44451,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.3998,101,1.45711,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.4997,101,1.46775,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.5996,101,1.47687,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.6998,101,1.485,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.8002,101,1.49189,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,0.8991,101,1.49712,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,288.15,1,101,1.50285,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0,101,1.38303,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.1017,101,1.40825,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.2004,101,1.42622,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.3001,101,1.44134,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.3998,101,1.45401,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.4997,101,1.46473,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.5996,101,1.47411,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.6998,101,1.48219,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.8002,101,1.48919,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,0.8991,101,1.49506,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,298.15,1,101,1.50069,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0,101,1.37914,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.1017,101,1.40453,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.2004,101,1.42291,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.3001,101,1.43827,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.3998,101,1.45119,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.4997,101,1.46189,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.5996,101,1.47127,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.6998,101,1.47942,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.8002,101,1.48632,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,0.8991,101,1.49221,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,308.15,1,101,1.49803,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
ygPLH,318.15,0,101,1.375,Castro et al. (2016a),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
