setid,Weight fraction of D-maltose,"Temperature, K","Pressure, kPa",Solvent: Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
oqlaG,0,298.15,84.5,0.02,1.3339,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0028,298.15,84.5,0.02,1.33428,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0095,298.15,84.5,0.02,1.33521,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0153,298.15,84.5,0.02,1.33601,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0388,298.15,84.5,0.02,1.33933,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0555,298.15,84.5,0.02,1.34171,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0719,298.15,84.5,0.02,1.34405,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.0974,298.15,84.5,0.02,1.34778,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.1193,298.15,84.5,0.02,1.35104,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
oqlaG,0.1366,298.15,84.5,0.02,1.35367,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,ABNqEQ,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-maltose,AADYJk,O,water,
