setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jDHtI,293.15,0,100,1.533,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.0498,100,1.531,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.1001,100,1.528,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.2027,100,1.521,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.3079,100,1.513,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.4001,100,1.507,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.4994,100,1.502,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.5998,100,1.497,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.6992,100,1.493,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
jDHtI,293.15,0.8,100,1.49,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
