setid,Weight fraction of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
aTNXJ,0,100,298.15,1.3763,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.061,100,298.15,1.3783,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.103,100,298.15,1.38,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.203,100,298.15,1.3841,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.316,100,298.15,1.39,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.403,100,298.15,1.3945,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.499,100,298.15,1.4,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.512,100,298.15,1.4012,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.599,100,298.15,1.4054,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.695,100,298.15,1.4112,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.796,100,298.15,1.4187,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,0.899,100,298.15,1.4257,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
aTNXJ,1,100,298.15,1.4337,Mohammed et al. (2018),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
