setid,"MolaLity of thiophene, mol/kg","Temperature, K","Pressure, kPa","Solvent: MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZWNiU,0,298.15,101.33,0.0999,1.4237,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.0309,298.15,101.33,0.0999,1.4238,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.041,298.15,101.33,0.0999,1.4239,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.051,298.15,101.33,0.0999,1.424,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.061,298.15,101.33,0.0999,1.4241,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.0711,298.15,101.33,0.0999,1.4242,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.081,298.15,101.33,0.0999,1.4243,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.0911,298.15,101.33,0.0999,1.4244,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1009,298.15,101.33,0.0999,1.4245,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1111,298.15,101.33,0.0999,1.4246,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1209,298.15,101.33,0.0999,1.4247,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1311,298.15,101.33,0.0999,1.4248,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1413,298.15,101.33,0.0999,1.4249,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1506,298.15,101.33,0.0999,1.425,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ZWNiU,0.1609,298.15,101.33,0.0999,1.4251,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
