setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qvpcd,288.15,0,101.3,1.3956,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.0424,101.3,1.4036,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.0664,101.3,1.4079,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.0927,101.3,1.4133,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.1873,101.3,1.4277,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.272,101.3,1.437,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.3588,101.3,1.4448,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.4536,101.3,1.452,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.5695,101.3,1.46,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
qvpcd,288.15,0.6703,101.3,1.4658,Oriyomi et al. (2020),Refractive index,Liquid,AAQxQx,CC(C)C(=O)O,2-methylpropanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
