setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NUwXH,288.15,0,101,1.37933,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.1,101,1.40475,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.2,101,1.42939,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.3,101,1.43991,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.4,101,1.45344,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.5001,101,1.4651,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.5998,101,1.47535,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.7,101,1.48406,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.7994,101,1.4912,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,0.9,101,1.49776,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,288.15,1,101,1.50285,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,298.15,0,101,1.37517,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,298.15,0.1,101,1.40107,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NUwXH,298.15,0.2,101,1.42604,Castro et al. (2016a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
