setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium salicylate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
eOGFK,288.15,0,87,1.3329,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,288.15,0.1032,87,1.3381,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,288.15,0.1055,87,1.3383,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,288.15,0.2001,87,1.3427,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,288.15,0.2005,87,1.3429,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,288.15,0.296,87,1.3479,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,288.15,0.3,87,1.3479,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,298.15,0,87,1.3323,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,298.15,0.1032,87,1.3376,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,298.15,0.1055,87,1.3376,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,298.15,0.2001,87,1.342,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,298.15,0.2005,87,1.342,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
eOGFK,298.15,0.296,87,1.3468,Shekaari et al. (2016d),Refractive index,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,,
