setid,"Temperature, K",Mole fraction of 1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nCUmh,288.15,0,100,1.345,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.1,100,1.3786,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.2,100,1.3942,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.3,100,1.4045,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.4001,100,1.4109,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.5,100,1.4138,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.6,100,1.416,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.7,100,1.4199,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.7999,100,1.4214,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,0.8999,100,1.4227,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,288.15,1,100,1.424,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0,100,1.3428,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.1,100,1.377,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.2,100,1.3933,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.3,100,1.403,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.4001,100,1.4091,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.5,100,1.4122,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.6,100,1.4148,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.7,100,1.4187,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.7999,100,1.4201,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,0.8999,100,1.4213,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,293.15,1,100,1.4225,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,298.15,0,100,1.341,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,298.15,0.1,100,1.3758,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,298.15,0.2,100,1.3922,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
nCUmh,298.15,0.3,100,1.4016,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,,
