setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jlQnI,298.2,0.0994,100,1.42,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.2001,100,1.4435,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.3025,100,1.4655,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.4009,100,1.483,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.5008,100,1.501,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.601,100,1.5165,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.7034,100,1.5255,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.8186,100,1.5355,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,298.2,0.8901,100,1.5415,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.0994,100,1.4105,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.2001,100,1.4345,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.3025,100,1.4565,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.4009,100,1.4755,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.5008,100,1.4935,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.601,100,1.5105,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.7034,100,1.5205,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.8186,100,1.5285,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,308.2,0.8901,100,1.5325,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.0994,100,1.4035,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.2001,100,1.4275,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.3025,100,1.4495,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.4009,100,1.4685,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.5008,100,1.4865,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.601,100,1.5025,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.7034,100,1.5135,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.8186,100,1.5215,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
jlQnI,318.2,0.8901,100,1.5255,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
