setid,Weight fraction of 1-butyl-3-methylimidazolium L-prolinate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XCezC,0,298.15,100,1.3325,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.029,298.15,100,1.3378,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.053,298.15,100,1.3418,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.087,298.15,100,1.3473,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.117,298.15,100,1.3532,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.156,298.15,100,1.3614,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.215,298.15,100,1.3728,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.275,298.15,100,1.3838,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.37,298.15,100,1.4008,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.544,298.15,100,1.4336,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.704,298.15,100,1.4634,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
XCezC,0.923,298.15,100,1.5032,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,,
