setid,Mole fraction of 1-methylimidazolium acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DVzXy,0,101,298.15,1.3329,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.002,101,298.15,1.3355,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.0051,101,298.15,1.3401,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.0071,101,298.15,1.3417,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.01,101,298.15,1.3445,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.0151,101,298.15,1.3492,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.02,101,298.15,1.3511,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.0498,101,298.15,1.3789,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.0748,101,298.15,1.3952,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.0999,101,298.15,1.4071,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.1486,101,298.15,1.4241,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.1935,101,298.15,1.4339,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.3485,101,298.15,1.4481,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.4974,101,298.15,1.4531,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.7437,101,298.15,1.4575,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,0.8908,101,298.15,1.4586,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
DVzXy,1,101,298.15,1.4592,Chen et al. (2014c),Refractive index,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,,
