setid,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EicSk,100,288.15,1.49654,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,293.15,1.49497,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,298.15,1.49313,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,303.15,1.49162,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,308.15,1.48983,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,313.15,1.48782,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,318.15,1.48724,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,323.15,1.48547,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,328.15,1.48368,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,333.15,1.48202,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,338.15,1.48045,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,343.15,1.47902,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,348.15,1.47764,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
EicSk,100,353.15,1.4763,Lee et al. (2016),Refractive index,Liquid,ABrRRJ,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
