setid,Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa",Solvent: Weight fraction of L-arabinose,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tAHGw,0,298.15,84.5,0.02,1.33523,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0005,298.15,84.5,0.02,1.33526,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.001,298.15,84.5,0.02,1.33531,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0019,298.15,84.5,0.02,1.33538,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0024,298.15,84.5,0.02,1.33542,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0031,298.15,84.5,0.02,1.33547,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0039,298.15,84.5,0.02,1.33553,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0081,298.15,84.5,0.02,1.33582,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.0103,298.15,84.5,0.02,1.33597,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
tAHGw,0.014,298.15,84.5,0.02,1.33623,Jamehbozorg and Sadeghi (2019),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,
