setid,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
myySB,293,100,450,1.5042,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,293,100,532,1.4959,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,293,100,633,1.49,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,293,100,964,1.4822,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,293,100,1551,1.4788,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,353,100,450,1.4885,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,353,100,532,1.4805,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,353,100,633,1.4747,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,353,100,964,1.4672,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,353,100,1551,1.4639,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,358.1,100,450,1.4872,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,358.1,100,532,1.4792,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,358.1,100,633,1.4735,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,358.1,100,964,1.4659,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,358.1,100,1551,1.4626,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,363,100,450,1.4859,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,363,100,532,1.4779,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,363,100,633,1.4722,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
myySB,363,100,964,1.4646,Mero et al. (2022),Refractive index,Liquid,AAwvZw,CC(=O)CCC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium 4-oxopentanoate,,,,,,,
