setid,"Temperature, K",Mole fraction of ammonium ethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RSJGi,298.15,0,101,1.49997,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,298.15,0.05,101,1.49869,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,298.15,0.0999,101,1.49756,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,298.15,0.1701,101,1.49488,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,303.15,0,101,1.49867,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,303.15,0.05,101,1.49735,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,303.15,0.0999,101,1.49624,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,303.15,0.1701,101,1.49359,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,308.15,0,101,1.49732,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,308.15,0.05,101,1.49599,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,308.15,0.0999,101,1.49488,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,308.15,0.1701,101,1.49223,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,313.15,0,101,1.49597,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,313.15,0.05,101,1.49464,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,313.15,0.0999,101,1.49346,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
RSJGi,313.15,0.1701,101,1.49081,Oliveira et al. (2015),Refractive index,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
