setid,Mole ratio to solvent: tetrabutylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
sMbTW,7,313.15,100,1.476,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,7,323.15,100,1.473,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,7,333.15,100,1.47,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,7,343.15,100,1.467,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,7,353.15,100,1.465,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,8,313.15,100,1.48,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,8,323.15,100,1.477,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,8,333.15,100,1.474,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,8,343.15,100,1.47,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,8,353.15,100,1.467,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,9,313.15,100,1.48,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,9,323.15,100,1.477,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,9,333.15,100,1.473,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,9,343.15,100,1.469,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
sMbTW,9,353.15,100,1.466,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,,,,
