setid,"Temperature, K",Weight fraction of water,Weight fraction of phenol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mVwUZ,293.2,0.0103,0,81.5,1.43055,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0124,0.0099,81.5,1.43195,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0148,0.0197,81.5,1.4331,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0154,0.0295,81.5,1.4343,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0163,0.0393,81.5,1.4355,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0173,0.0491,81.5,1.43665,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0179,0.0603,81.5,1.43795,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.019,0.0686,81.5,1.4385,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0219,0.0782,81.5,1.43995,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0251,0.0975,81.5,1.44305,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0319,0.1355,81.5,1.44695,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.0396,0.1729,81.5,1.45275,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9194,0.0799,81.5,1.3485,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9291,0.0699,81.5,1.34685,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9385,0.0613,81.5,1.3445,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9479,0.0499,81.5,1.3431,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9571,0.0399,81.5,1.3414,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9665,0.0299,81.5,1.3391,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9755,0.0199,81.5,1.3367,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
mVwUZ,293.2,0.9851,0.0099,81.5,1.33535,Saien et al. (2018),Refractive index,Liquid,AADYJk,O,water,AASFbA,Oc1ccccc1,phenol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
